사건번호,물건종류,용도설명,소재지,감정가(원),최저매각가(원),낙찰가(원),매각기일,유찰횟수,거리(m)
2024타경7702,아파트,"연립주택,다세대,빌라",경기도 용인시 기흥구 하갈동 383 시더스프리미엄힐 에이동 4층402호,654000000,157025000,225100000,2025-12-16,4,3329
2024타경13516,아파트,"연립주택,다세대,빌라",경기도 용인시 기흥구 하갈동 383 시더스프리미엄힐 씨동 2층202호,510000000,510000000,0,2026-04-29,0,3329
2024타경61294,기타건물,단독주택다가구,경기도 수원시 영통구 신동 1002,2993493120,1466811000,1781199000,2025-07-14,2,3338
2024타경60505,아파트,아파트,경기도 수원시 영통구 망포동 728 힐스테이트영통 117동 6층604호,1240000000,868000000,1215000000,2025-08-29,1,3341
2024타경718,아파트,다세대,경기도 용인시 기흥구 하갈동 309-5 루체팰리스 비동 2층201호,450000000,154350000,330750000,2025-11-18,3,3369
2024타경87852,아파트,아파트,경기도 수원시 영통구 망포동 509-2 영통마젤란21아파트2단지 1104동 10층1001호,449000000,314300000,385000000,2025-12-15,1,3454
2024타경5966,아파트,연립주택,경기도 용인시 기흥구 신갈동 435-34 1층101호,135000000,94500000,107050000,2025-07-02,1,3458
2024타경85450,주거용,"상가,오피스텔,근린시설",경기도 수원시 영통구 이의동 1248-2 리치프라자3 1층111호,1091000000,374213000,412570000,2026-04-13,3,3470
2024타경80578,아파트,오피스텔,경기도 수원시 영통구 이의동 1256-3 유-씨티 3층314호,140000000,98000000,140000000,2025-05-14,1,3488
2024타경62150,아파트,오피스텔,경기도 수원시 영통구 이의동 1256-1 테라스힐 3층비309호,120000000,41160000,41160000,2025-06-24,3,3515
2024타경66336,아파트,오피스텔,경기도 수원시 영통구 이의동 1256 장안프라임광교 4층401호,387000000,189630000,300000000,2025-11-18,2,3545
2024타경11978,아파트,아파트,경기도 용인시 기흥구 신갈동 734 용인기흥우방아이유쉘 104동 3층302호,456000000,319200000,415799999,2025-09-30,1,3553
2024타경50539,아파트,다세대,경기도 용인시 기흥구 서천동 397-2 건우까사미3 3층301호,229000000,6468000,6470000,2026-03-17,12,3572
2024타경3960,아파트,단독주택다가구,경기도 용인시 기흥구 신갈동 426-49,345515300,241861000,0,2026-05-06,2,3630
2024타경64347,아파트,연립주택,경기도 수원시 영통구 망포동 535-17 어반글랜 나동 3층301호,235000000,164500000,207285000,2025-11-28,1,3735
2024타경84778,아파트,다세대,경기도 수원시 영통구 망포동 535-17 어반글랜 가동 2층203호,255000000,124950000,176439600,2026-04-15,7,3735
2023타경67585,아파트,아파트,경기도 수원시 영통구 망포동 686 동수원자이1차 114동 12층1206호,520000000,364000000,561600000,2025-06-09,1,3963
2024타경65463,아파트,아파트,경기도 수원시 영통구 이의동 1200 광교2차이편한세상 8503동 13층1304호,935000000,654500000,937999999,2025-08-19,1,4054
2024타경9562,아파트,아파트,경기도 수원시 영통구 이의동 1184 광교호반베르디움 8702동 6층603호,940000000,940000000,955999999,2025-12-24,0,4177
2023타경69680,아파트,다세대,경기도 용인시 기흥구 신갈동 34-10 4층402호,252000000,176400000,180881000,2025-08-28,11,4183
2023타경88841,아파트,아파트,경기도 용인시 기흥구 신갈동 158 양현마을신안아파트 312동 4층401호,478000000,334600000,458800000,2025-06-05,1,4333
2024타경10319,아파트,연립주택,경기도 수원시 영통구 이의동 1197 이편한세상테라스광교웨스트힐 8601동 4층404호,1240000000,868000000,1180000000,2025-10-22,1,4396
2024타경7139,기타건물,기타,경기도 용인시 기흥구 신갈동 64-4,2567016800,1796911000,2159999990,2026-01-20,1,4397
2022타경74753,아파트,아파트,경기도 용인시 기흥구 상갈동 461 금화마을대우현대아파트 101동 1층101호,458000000,320600000,350200000,2025-11-28,1,4456
2024타경6105,주거용,근린시설,경기도 용인시 기흥구 농서동 452 기흥테라타워현대엔지니어링지식산업센터 9층티-9054호,285000000,139650000,0,2026-04-21,3,4623
2024타경14090,아파트,아파트,경기도 용인시 기흥구 상갈동 454 금화마을주공그린빌 504동 7층703호,357000000,357000000,381999999,2026-01-27,0,4624
2023타경11452,주거용,기타,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 6층627호,198000000,67914000,75700000,2025-11-18,3,4735
2024타경7955,주거용,"상가,오피스텔,근린시설",경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘164호,2147000000,360847000,0,2026-04-24,6,4735
2024타경8972,주거용,"상가,오피스텔,근린시설",경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘155호,1261000000,211936000,0,2026-05-12,6,4735
2024타경10869,주거용,"상가,오피스텔,근린시설",경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘184호,1050000000,735000000,0,2026-04-22,2,4735
2024타경51662,주거용,근린시설,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 지1층비003호,586000000,98488000,100000000,2025-05-28,5,4735
2024타경5300,주거용,기타,경기도 용인시 기흥구 농서동 457 이너매스허브시티 7층724호,116000000,19496000,23230000,2026-04-06,5,4834
2024타경5751,아파트,아파트,경기도 용인시 기흥구 신갈동 166 새릉골아파트 101동 10층1003호,713000000,499100000,670229900,2026-01-07,1,4844
2024타경1254,아파트,아파트,경기도 용인시 기흥구 신갈동 681 녹원마을새천년그린빌 106동 2층202호,460000000,460000000,0,2025-04-30,1,4874
2023타경8852,아파트,아파트,경기도 용인시 기흥구 구갈동 660 힐스테이트기흥 205동 14층1405호,882000000,617400000,933880000,2025-10-13,1,5061
2023타경71270,아파트,아파트,경기도 용인시 기흥구 구갈동 660 힐스테이트기흥 203동 39층3904호,937000000,655900000,925110000,2025-06-10,1,5061
2024타경11640,아파트,"연립주택,다세대,빌라",경기도 용인시 기흥구 보라동 283-13 그린캐슬 102동 2층201호,232000000,162400000,178750000,2025-09-10,1,5181
2023타경78318,아파트,아파트,경기도 용인시 기흥구 공세동 382-1 호수청구아파트 103동 17층1704호,80500000,56350000,66815000,2025-06-24,1,5184
2024타경8163,주거용,기타,경기도 용인시 기흥구 구갈동 681 기흥아이씨티밸리에스케이브이원 비동 22층2210호,587000000,410900000,490000000,2025-08-12,1,5190
2024타경13196,주거용,"상가,오피스텔,근린시설",경기도 용인시 기흥구 구갈동 681 기흥아이씨티밸리에스케이브이원 비동 24층2407호,589000000,288610000,444000000,2026-02-09,2,5190
2024타경9678,아파트,아파트,경기도 용인시 기흥구 보라동 660 용인보라효성해링턴플레이스 102동 13층1301호,630000000,441000000,519999000,2025-12-09,2,5205
2024타경12230,아파트,아파트,경기도 용인시 기흥구 보정동 1169 솔뫼마을현대홈타운 107동 5층501호,850000000,850000000,0,2026-04-17,1,5300
2024타경8774,아파트,아파트,경기도 용인시 기흥구 마북동 629 삼거마을삼성래미안1차아파트 116동 10층1003호,1100000000,1100000000,0,2025-08-19,1,5449
2024타경7436,아파트,아파트,경기도 용인시 기흥구 공세동 694 탑실마을대주피오레1단지 103동 9층901호,606000000,424200000,443750000,2025-09-15,1,5524
2024타경8347,아파트,아파트,경기도 용인시 기흥구 공세동 694 탑실마을대주피오레1단지 107동 12층1202호,544000000,380800000,470000888,2025-09-15,1,5524
2024타경13325,아파트,아파트,경기도 용인시 기흥구 공세동 694 탑실마을대주피오레1단지 105동 5층501호,613000000,429100000,496999999,2026-01-27,1,5524
2024타경3144,아파트,오피스텔,경기도 용인시 기흥구 언남동 384-2 까사90 2층204호,317000000,221900000,232100000,2025-09-10,1,5563
2024타경4215,아파트,아파트,경기도 용인시 기흥구 언남동 384-2 까사90 3층307호,278000000,11218000,0,2026-04-24,10,5563
2024타경11343,아파트,아파트,경기도 용인시 기흥구 언남동 384-2 까사90 3층309호,221000000,221000000,221000000,2026-01-20,0,5563
2024타경52795,아파트,오피스텔,경기도 용인시 기흥구 마북동 314-1 가온누리빌리지 비동 6층603호,327000000,160230000,206170000,2025-09-08,2,5638
2024타경5744,아파트,아파트,경기도 용인시 기흥구 보라동 570 민속마을현대모닝사이드 307동 16층1601호,473000000,331100000,361100000,2025-09-24,1,5755
2024타경9975,주거용,"상가,오피스텔,근린시설",경기도 용인시 기흥구 공세동 734-6 지1층비07호,367000000,88116000,116163800,2026-01-05,4,5812
2024타경55268,아파트,아파트,경기도 용인시 기흥구 고매동 674-7 메종블루아 104동 1층102호,678800000,475160000,594888000,2025-08-18,1,5831
2024타경7559,아파트,아파트,경기도 용인시 기흥구 고매동 674-9 메종블루아 105동 6층601호,800000000,560000000,705888000,2025-09-03,1,5873
2023타경84528,아파트,아파트,경기도 용인시 기흥구 보라동 558 민속마을신창미션힐아파트 205동 10층1002호,567000000,396900000,0,2026-05-06,2,5896
2024타경54241,아파트,아파트,경기도 용인시 기흥구 보라동 558 민속마을신창미션힐아파트 204동 4층401호,185500000,185500000,185500000,2025-06-02,1,5896
2024타경8248,아파트,아파트,경기도 용인시 기흥구 고매동 674-3 메종블루아 102동 2층201호,941000000,941000000,0,2026-04-22,0,5938
2023타경1684,아파트,아파트,경기도 용인시 기흥구 구갈동 543 강남마을코오롱하늘채수 101동 3층303호,646000000,452200000,452770000,2025-12-12,1,6185
2024타경13127,아파트,아파트,경기도 용인시 기흥구 마북동 638 교동마을구성자이3차 104동 5층503호,545000000,545000000,546700000,2026-03-17,0,6194
2023타경71867,아파트,아파트,경기도 용인시 기흥구 언남동 503 스파팰리스리가 101동 7층704호,715000000,500500000,670000000,2025-11-03,1,6200
2023타경85590,아파트,아파트,경기도 용인시 기흥구 언남동 486 하마비마을동일하이빌1차아파트 109동 17층1703호,690000000,483000000,572572001,2025-07-08,1,6218
2024타경5911,아파트,아파트,경기도 용인시 기흥구 공세동 714 탑실마을대주피오레2단지 210동 9층903호,560000000,392000000,472222223,2025-05-19,1,6306
2024타경6846,아파트,아파트,경기도 용인시 기흥구 공세동 714 탑실마을대주피오레2단지 206동 14층1405호,676000000,473200000,521000000,2025-06-02,1,6306
2023타경73627,아파트,아파트,경기도 용인시 기흥구 보정동 1162 행원마을동아솔레시티아파트 133동 18층1801호,733000000,733000000,0,2026-04-10,1,6382
2024타경4666,아파트,아파트,경기도 용인시 기흥구 보정동 1162 행원마을동아솔레시티아파트 105동 3층302호,934000000,653800000,795990001,2025-05-28,1,6382
2024타경6488,아파트,아파트,경기도 용인시 기흥구 보정동 1162 행원마을동아솔레시티아파트 133동 6층601호,1660000000,1162000000,1301300000,2025-04-21,1,6382
2024타경12834,아파트,아파트,경기도 용인시 기흥구 보정동 1162 행원마을동아솔레시티아파트 131동 19층1902호,1330000000,1330000000,0,2026-04-29,0,6382
2024타경13585,아파트,아파트,경기도 용인시 기흥구 언남동 496 하마비마을동일하이빌2차아파트 201동 10층1002호,575000000,575000000,0,2026-04-20,1,6390
2024타경770,아파트,다세대,경기도 용인시 기흥구 고매동 365-10 고매동365-10공동주택 1동 1층101호,264000000,2557000,0,2026-04-14,14,6457
2024타경6785,아파트,다세대,경기도 용인시 기흥구 고매동 352-72 매화향기가 2동 2층202호,148000000,103600000,115590000,2026-02-09,1,6693
2024타경10135,아파트,아파트,경기도 용인시 기흥구 상하동 659 지석마을 진흥더루벤스 104동 2층202호,513000000,359100000,440300000,2025-10-22,1,6909
2024타경2271,기타건물,전답,경기도 용인시 기흥구 상하동 439,1187120000,199518000,251000000,2025-07-14,5,7022
2022타경9292,아파트,아파트,경기도 용인시 기흥구 상하동 447 풍림아파트 104동 9층902호,297000000,207900000,297900000,2025-05-13,1,7045
2024타경183,아파트,아파트,경기도 용인시 기흥구 보정동 1258 죽현마을엘지자이 102동 5층501호,1300000000,910000000,1169999999,2026-04-07,1,7057
2024타경6303,주거용,"상가,오피스텔,근린시설",경기도 용인시 기흥구 보정동 1179 죽전신세계쉐덴 15층비-1501호,845000000,591500000,696900000,2025-06-23,0,7154
2024타경12384,아파트,아파트,경기도 용인시 기흥구 상하동 652 수원동마을쌍용스윗닷홈 203동 20층2004호,399000000,279300000,321000000,2025-11-24,1,7362
2023타경2977,아파트,다세대,경기도 용인시 기흥구 상하동 217-13 104동 4층402호,238000000,6723000,0,2026-05-06,17,7363
2024타경8521,아파트,"연립주택,다세대,빌라",경기도 용인시 기흥구 중동 665-8 강남스타빌 302동 4층402호,385000000,385000000,0,2026-04-20,0,7367
2024타경10456,아파트,"연립주택,다세대,빌라",경기도 용인시 기흥구 중동 665-8 강남스타빌 302동 1층103호,230000000,112700000,146005879,2025-09-29,2,7367
2023타경7606,아파트,다세대,경기도 용인시 기흥구 중동 665-25 강남스타빌 비동 5층503호,257000000,5081000,6040000,2025-09-17,12,7370
2023타경12844,아파트,오피스텔,경기도 용인시 기흥구 중동 1109-11 2층201호,257000000,125930000,147200000,2025-06-02,2,7398
2023타경10985,아파트,아파트,경기도 용인시 기흥구 중동 1126 동백광명샤인빌 8층818호,92000000,3712240,4200000,2025-08-29,9,7444
