사건번호,물건종류,용도설명,소재지,감정가(원),최저매각가(원),낙찰가(원),매각기일,유찰횟수,거리(m)
2024타경56674,아파트,오피스텔,경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 15층비1534호,205000000,70315000,70707070,2025-04-29,3,1697
2024타경64170,아파트,"상가,오피스텔,근린시설",경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 13층씨1301호,215000000,73745000,195000000,2025-12-01,3,1697
2024타경67186,아파트,오피스텔,경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 9층비911호,207000000,144900000,144900000,2025-08-19,1,1697
2024타경84983,아파트,오피스텔,경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 12층에이1234호,438000000,150234000,394000000,2025-11-04,3,1697
2024타경89490,아파트,오피스텔,경기도 수원시 영통구 이의동 1336-1 광교엘포트아이파크 5층씨503호,180000000,126000000,150000000,2026-04-06,1,1697
2024타경5874,주거용,근린시설,경기도 수원시 영통구 이의동 1336 힐스테이트 광교중앙역 주건축물제1동 2층236호,657000000,459900000,0,2026-06-09,2,1769
2024타경13974,주거용,"상가,오피스텔,근린시설",경기도 수원시 영통구 하동 1016 광교효성해링턴타워 13층에이동1311호,266000000,266000000,0,2026-04-24,1,1798
2024타경66909,아파트,오피스텔,경기도 수원시 영통구 하동 1016 광교효성해링턴타워 14층비동1402호,392000000,274400000,330000000,2025-04-25,1,1798
2024타경13240,주거용,"상가,오피스텔,근린시설",경기도 용인시 기흥구 영덕동 1029 유-타워 21층2104호,333000000,163170000,240000000,2025-11-21,2,1818
2024타경55749,아파트,아파트,경기도 수원시 영통구 매탄동 176 현대힐스테이트아파트 107동 7층704호,499000000,499000000,525117777,2025-06-17,0,1833
2023타경12349,기타건물,다가구주택,경기도 용인시 기흥구 영덕동 1068-6,1920584800,1344409000,0,2026-04-27,2,1861
2024타경6815,기타건물,단독주택다가구,경기도 수원시 영통구 매탄동 483-3,2601785700,1274874000,1750000000,2025-08-18,2,1913
2024타경12827,아파트,"상가,오피스텔,근린시설",경기도 수원시 영통구 영통동 945-2 수원영통리슈빌스카이오피스텔 12층1212호,314000000,219800000,273000000,2025-10-31,1,1922
2024타경80165,아파트,아파트,경기도 수원시 영통구 하동 1013 광교더리브 6206동 27층2701호,1130000000,1130000000,1187520000,2025-11-18,0,1948
2024타경11091,아파트,아파트,경기도 수원시 영통구 영통동 955-1 영통포레파크원 아파트 143동 18층1806호,416000000,416000000,419910000,2025-10-14,0,1973
2024타경56803,아파트,아파트,경기도 수원시 영통구 영통동 955-1 영통포레파크원 아파트 153동 18층1802호,338000000,236600000,345990000,2025-04-21,1,1973
2024타경60192,아파트,아파트,경기도 수원시 영통구 영통동 955-1 황골마을주공1단지아파트 152동 11층1104호,412000000,412000000,415500000,2025-05-13,0,1973
2024타경85177,아파트,아파트,경기도 수원시 영통구 영통동 955-1 황골마을주공1단지아파트 158동 4층401호,380000000,380000000,420060024,2025-11-05,0,1973
2024타경85184,아파트,아파트,경기도 수원시 영통구 영통동 955-1 황골마을주공1단지아파트 140동 4층405호,352000000,246400000,321750000,2025-09-23,1,1973
2024타경90469,아파트,아파트,경기도 수원시 영통구 영통동 955-1 황골마을주공1단지아파트 137동 5층501호,415000000,290500000,388110000,2025-09-15,1,1973
2024타경3939,아파트,아파트,경기도 수원시 영통구 영통동 956-2 동신아파트 315동 7층703호,1016000000,1016000000,0,2026-04-24,0,1996
2024타경67216,아파트,아파트,경기도 수원시 영통구 영통동 956-2 대우아파트 304동 1층104호,875000000,612500000,765000000,2025-06-18,1,1996
2024타경64828,아파트,아파트,경기도 수원시 영통구 영통동 963-2 진흥아파트 553동 13층1304호,423000000,296100000,372890000,2025-08-20,1,2001
2024타경68882,아파트,아파트,경기도 수원시 영통구 영통동 963-2 신성아파트 521동 11층1106호,411000000,287700000,387885000,2025-10-28,1,2001
2024타경86392,아파트,아파트,경기도 수원시 영통구 영통동 963-2 신안아파트 531동 7층701호,430000000,301000000,380900000,2025-09-23,1,2001
2024타경86644,아파트,아파트,경기도 수원시 영통구 영통동 963-2 신성아파트 521동 6층601호,430000000,301000000,412200000,2025-12-15,1,2001
2024타경91523,아파트,아파트,경기도 수원시 영통구 영통동 963-2 쌍용아파트 544동 8층804호,390000000,273000000,331530000,2025-11-11,1,2001
2022타경68789,아파트,아파트,경기도 수원시 영통구 매탄동 1352 매탄 위브 하늘채 124동 15층1503호,720000000,504000000,675990000,2026-03-23,1,2022
2023타경12677,아파트,아파트,경기도 용인시 기흥구 영덕동 1069 신동아파밀리에아파트 1213동 3층305호,745000000,521500000,726800000,2025-09-16,1,2090
2023타경12462,아파트,아파트,경기도 수원시 영통구 영통동 1054-3 한국아파트 214동 4층405호,335000000,335000000,0,2026-04-20,1,2129
